,original,predicated
102,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[9.635673e-23 1.000000e+00]
103,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[5.577684e-21 1.000000e+00]
104,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[4.9800782e-08 1.0000000e+00]
105,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[2.0745467e-25 1.0000000e+00]
106,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
107,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[5.914093e-11 1.000000e+00]
108,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[0.9988423  0.00115772]
109,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[0.00591804 0.9940819 ]
110,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[1.4813558e-26 1.0000000e+00]
111,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[5.2437657e-22 1.0000000e+00]
112,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[0.37559026 0.62440974]
113,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[8.263451e-24 1.000000e+00]
114,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[1.000000e+00 9.328438e-13]
115,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[1.1113619e-24 1.0000000e+00]
116,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[2.7174247e-20 1.0000000e+00]
117,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[1.0757858e-04 9.9989235e-01]
118,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[6.145220e-05 9.999385e-01]
119,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[3.8165778e-25 1.0000000e+00]
120,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[1.2847191e-18 1.0000000e+00]
121,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[1.262094e-16 1.000000e+00]
122,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[3.3178868e-25 1.0000000e+00]
123,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[1.2031218e-18 1.0000000e+00]
124,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[9.6634205e-32 1.0000000e+00]
125,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[8.471508e-20 1.000000e+00]
126,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[0.20390898 0.796091  ]
127,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[1.7139284e-07 9.9999988e-01]
128,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[4.600961e-13 1.000000e+00]
129,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[5.215223e-28 1.000000e+00]
130,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[1.000000e+00 8.404219e-09]
131,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[3.4051208e-08 1.0000000e+00]
132,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[3.729712e-09 1.000000e+00]
133,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[7.9722633e-25 1.0000000e+00]
134,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[7.6375136e-25 1.0000000e+00]
135,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[1.7829249e-14 1.0000000e+00]
136,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[8.773739e-25 1.000000e+00]
137,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[4.1901743e-24 1.0000000e+00]
138,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[1.2115473e-15 1.0000000e+00]
139,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[3.000176e-15 1.000000e+00]
140,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[1.0000000e+00 2.7314405e-08]
141,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[6.669903e-16 1.000000e+00]
142,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[0.97047836 0.02952163]
143,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[1.9771853e-09 1.0000000e+00]
144,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[4.2539155e-26 1.0000000e+00]
145,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[1.954781e-27 1.000000e+00]
146,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[1.37130916e-14 1.00000000e+00]
147,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[1.0242134e-13 1.0000000e+00]
148,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[7.238699e-17 1.000000e+00]
149,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[0.8909379  0.10906215]
150,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[1.0000000e+00 2.0918371e-19]
151,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[1.2509301e-17 1.0000000e+00]
152,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[2.043805e-30 1.000000e+00]
153,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[7.105091e-15 1.000000e+00]
154,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[3.9188416e-28 1.0000000e+00]
155,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[1.8190728e-24 1.0000000e+00]
156,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[1.4632284e-16 1.0000000e+00]
157,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[3.2061597e-29 1.0000000e+00]
158,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[9.9999988e-01 1.2195764e-07]
159,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[9.9999988e-01 1.6505086e-07]
160,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
161,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[0. 1.]
162,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[1.5240752e-28 1.0000000e+00]
163,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[2.5869688e-04 9.9974126e-01]
164,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[7.7536376e-27 1.0000000e+00]
165,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[4.063935e-25 1.000000e+00]
166,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[2.832622e-22 1.000000e+00]
167,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[5.262909e-35 1.000000e+00]
168,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[0.9984464  0.00155365]
169,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[1.0232418e-15 1.0000000e+00]
170,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[2.2488889e-04 9.9977511e-01]
171,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[2.626496e-11 1.000000e+00]
172,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[1.7795025e-19 1.0000000e+00]
173,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[5.2471694e-10 1.0000000e+00]
174,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[2.1244805e-10 1.0000000e+00]
175,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[2.8750211e-24 1.0000000e+00]
176,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
177,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[9.9952066e-01 4.7934908e-04]
178,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[1.2656314e-07 9.9999988e-01]
179,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
180,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
181,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[6.3534246e-25 1.0000000e+00]
182,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[9.9935049e-01 6.4946385e-04]
183,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[1.0789167e-09 1.0000000e+00]
184,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[1.2432471e-17 1.0000000e+00]
185,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[2.9929469e-18 1.0000000e+00]
186,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[8.9277943e-14 1.0000000e+00]
187,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[1.4073028e-07 9.9999988e-01]
188,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[1.0000000e+00 1.3629416e-10]
189,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0.00141273 0.99858725]
190,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[4.1822096e-37 1.0000000e+00]
191,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[2.894242e-26 1.000000e+00]
192,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[5.0100675e-09 1.0000000e+00]
193,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[7.5363873e-06 9.9999249e-01]
194,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[1.01523374e-20 1.00000000e+00]
195,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[1.3306627e-26 1.0000000e+00]
196,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[1.1596427e-25 1.0000000e+00]
197,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
198,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[1.854041e-06 9.999981e-01]
199,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[0. 1.]
200,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[3.7095366e-12 1.0000000e+00]
201,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[2.5491784e-24 1.0000000e+00]
202,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[1.0000000e+00 1.4535805e-10]
203,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[1.0000000e+00 2.2179553e-10]
204,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[4.700674e-24 1.000000e+00]
205,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[4.300848e-31 1.000000e+00]
206,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[8.6466844e-17 1.0000000e+00]
207,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[9.9969983e-01 3.0017874e-04]
208,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[2.083757e-23 1.000000e+00]
209,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[1.2974464e-24 1.0000000e+00]
210,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[1.3107525e-26 1.0000000e+00]
211,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[1.7564181e-18 1.0000000e+00]
212,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[1.9930653e-16 1.0000000e+00]
213,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[1.4120268e-26 1.0000000e+00]
214,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[0.9962878  0.00371217]
215,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[1.0000000e+00 1.8337551e-10]
216,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[1.6072374e-32 1.0000000e+00]
217,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[1.0000000e+00 5.7000222e-09]
218,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[4.4855978e-26 1.0000000e+00]
219,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[6.5655843e-19 1.0000000e+00]
220,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
221,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[1.1902651e-36 1.0000000e+00]
222,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[4.1375725e-29 1.0000000e+00]
223,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[6.6027534e-20 1.0000000e+00]
224,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[5.6082365e-21 1.0000000e+00]
225,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[4.228905e-17 1.000000e+00]
226,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[9.981835e-28 1.000000e+00]
227,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[3.7784374e-24 1.0000000e+00]
228,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[1.8203373e-15 1.0000000e+00]
229,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[1.1810981e-19 1.0000000e+00]
230,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[0.4812239 0.5187761]
231,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[1.1531786e-20 1.0000000e+00]
232,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[9.999994e-01 6.262181e-07]
233,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[9.9971348e-01 2.8647637e-04]
234,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[1.3104421e-19 1.0000000e+00]
235,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[2.0602376e-13 1.0000000e+00]
236,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[1.5995113e-26 1.0000000e+00]
237,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[2.5958634e-21 1.0000000e+00]
238,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[3.571792e-15 1.000000e+00]
239,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[2.7448984e-20 1.0000000e+00]
240,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[4.846168e-18 1.000000e+00]
241,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[1.7335875e-24 1.0000000e+00]
242,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[4.031606e-23 1.000000e+00]
243,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[3.2828254e-32 1.0000000e+00]
244,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[3.1198251e-12 1.0000000e+00]
245,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[4.6822124e-06 9.9999535e-01]
246,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[0.68946415 0.3105359 ]
247,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[2.663268e-21 1.000000e+00]
248,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
249,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[1.0488932e-18 1.0000000e+00]
250,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[3.093345e-08 1.000000e+00]
251,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[0.00536592 0.99463415]
252,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[1.7236708e-08 1.0000000e+00]
253,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[6.382985e-26 1.000000e+00]
254,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[3.3480415e-12 1.0000000e+00]
255,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[1.3485957e-24 1.0000000e+00]
256,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[2.5366782e-05 9.9997461e-01]
257,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[2.7976997e-29 1.0000000e+00]
258,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[4.099204e-31 1.000000e+00]
259,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[3.870288e-22 1.000000e+00]
260,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[4.8056725e-31 1.0000000e+00]
261,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[5.256991e-12 1.000000e+00]
262,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[3.0603387e-24 1.0000000e+00]
263,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[6.8175382e-15 1.0000000e+00]
264,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[3.0130407e-25 1.0000000e+00]
265,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[2.9874635e-16 1.0000000e+00]
266,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
267,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[4.742462e-23 1.000000e+00]
268,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[4.0828004e-17 1.0000000e+00]
269,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[8.2382424e-16 1.0000000e+00]
270,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[2.798984e-12 1.000000e+00]
271,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[1.921605e-21 1.000000e+00]
272,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[3.6419584e-05 9.9996352e-01]
273,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[1.9281697e-21 1.0000000e+00]
274,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[3.004479e-04 9.996996e-01]
275,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[1.9161609e-19 1.0000000e+00]
276,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[2.0662055e-04 9.9979335e-01]
277,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[0.98124045 0.01875952]
278,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[1.2431865e-23 1.0000000e+00]
279,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
280,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[5.9474558e-36 1.0000000e+00]
281,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[1.0665218e-24 1.0000000e+00]
282,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[4.24869e-20 1.00000e+00]
283,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[2.9745106e-09 1.0000000e+00]
284,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[6.8673503e-04 9.9931324e-01]
285,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[0.03410016 0.9658998 ]
286,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[9.999919e-01 8.119621e-06]
287,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[2.3382115e-26 1.0000000e+00]
