,original,predicated
94,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[1.0000000e+00 1.1561465e-14]
95,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
96,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[1. 0.]
97,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
98,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
99,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[0. 1.]
100,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
101,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
102,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
103,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
104,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[0. 1.]
105,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
106,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
107,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
108,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[1.0000000e+00 1.9100472e-17]
109,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[1. 0.]
110,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
111,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
112,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[0. 1.]
113,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
114,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[1. 0.]
115,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
116,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
117,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[1. 0.]
118,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[1. 0.]
119,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
120,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
121,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
122,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
123,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
124,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
125,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
126,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[1.0000000e+00 1.0820518e-08]
127,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
128,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[0. 1.]
129,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
130,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[1. 0.]
131,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[1. 0.]
132,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[1. 0.]
133,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
134,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
135,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[1. 0.]
136,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
137,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
138,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
139,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
140,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[1. 0.]
141,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
142,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[0. 1.]
143,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[0. 1.]
144,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
145,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
146,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[0. 1.]
147,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
148,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
149,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[0. 1.]
150,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[1. 0.]
151,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
152,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
153,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
154,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
155,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
156,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
157,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
158,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[1. 0.]
159,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[1. 0.]
160,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
161,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[0. 1.]
162,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
163,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[1.528495e-27 1.000000e+00]
164,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
165,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
166,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
167,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
168,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[2.1847718e-26 1.0000000e+00]
169,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[0. 1.]
170,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[0.9951682  0.00483183]
171,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[0. 1.]
172,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
173,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[0. 1.]
174,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[0. 1.]
175,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
176,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
177,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[1. 0.]
178,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
179,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
180,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
181,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
182,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[1. 0.]
183,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[0. 1.]
184,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
185,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
186,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[0. 1.]
187,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[1. 0.]
188,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[1. 0.]
189,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
190,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
191,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
192,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[0. 1.]
193,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[0. 1.]
194,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
195,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
196,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
197,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
198,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
199,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[0. 1.]
200,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
201,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
202,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[1. 0.]
203,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[1. 0.]
204,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
205,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
206,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
207,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[0.00189317 0.99810684]
208,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
209,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
210,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[0. 1.]
211,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
212,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
213,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
214,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[1. 0.]
215,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[1. 0.]
216,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
217,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[1. 0.]
218,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
219,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
220,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
221,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
222,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
223,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
224,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
225,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
226,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
227,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
228,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
229,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
230,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[1.000000e+00 1.293173e-08]
231,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
232,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[1. 0.]
233,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[1.000000e+00 4.407536e-35]
234,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
235,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
236,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
237,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
238,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[0. 1.]
239,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
240,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
241,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
242,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
243,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
244,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[1.2170327e-36 1.0000000e+00]
245,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[0. 1.]
246,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[1. 0.]
247,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
248,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
249,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
250,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
251,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[1. 0.]
252,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[0. 1.]
253,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
254,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[0. 1.]
255,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
256,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[6.054151e-13 1.000000e+00]
257,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
258,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
259,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
260,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
261,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
262,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
263,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
264,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
265,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[0. 1.]
266,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
267,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[0. 1.]
268,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
269,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
270,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[1.6051814e-21 1.0000000e+00]
271,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
272,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[1.0000000e+00 6.3431937e-21]
273,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
274,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[1. 0.]
275,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
276,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[1. 0.]
277,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[1. 0.]
278,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
279,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
280,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
281,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
282,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
283,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[0. 1.]
284,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[1. 0.]
285,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[1. 0.]
286,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[1. 0.]
287,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
288,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[1.3595662e-10 1.0000000e+00]
289,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[1. 0.]
290,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
291,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
292,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
293,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
294,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
295,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[2.5367979e-11 1.0000000e+00]
296,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
297,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[1.0000000e+00 2.2889972e-22]
298,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
299,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[1. 0.]
300,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[1.0883418e-16 1.0000000e+00]
301,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
302,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[0. 1.]
303,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
304,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[1.0000000e+00 9.5933505e-30]
305,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
306,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
307,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
308,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[1.00000e+00 2.31731e-25]
309,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
310,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
311,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
312,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[4.3155974e-20 1.0000000e+00]
313,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[0. 1.]
314,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[1.1361286e-26 1.0000000e+00]
315,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
316,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[0. 1.]
317,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[0. 1.]
318,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
319,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[1. 0.]
320,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
321,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
322,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
323,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
324,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
325,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[0. 1.]
326,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[1. 0.]
327,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[1. 0.]
328,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
329,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
330,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
331,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
332,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
333,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[1. 0.]
334,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
335,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
336,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
337,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[2.4290796e-37 1.0000000e+00]
338,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[1. 0.]
339,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
340,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[0.9908614  0.00913855]
341,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
342,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[0. 1.]
343,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
344,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
345,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
346,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[4.0496708e-23 1.0000000e+00]
347,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
348,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
349,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
350,"tf.Tensor([ True False], shape=(2,), dtype=bool)",[1. 0.]
351,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
352,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
353,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
354,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
355,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
356,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
357,"tf.Tensor([False  True], shape=(2,), dtype=bool)",[0. 1.]
